,Date,Unix,DE Ratio,Price,stock_p_change,SP500,sp500_p_changeDifference,Difference,Ticker,sp500_p_change
44,2005-10-31 08:22:51,1130727171.0,0.521,24.56,-46.3755458515,1207.01001,,-53.9972749885,hrb,7.62172913696
45,2004-11-27 16:10:25,1101552025.0,1.16,46.82,2.22707423581,1181.76001,,-3.14326623146,hrb,5.37034046727
46,2007-03-24 08:29:14,1174705154.0,2.519,21.44,-53.1877729258,1435.040039,,-81.1415505236,hrb,27.9537775979
47,2007-07-03 02:28:38,1183409918.0,1.482,23.13,-49.4978165939,1524.869995,,-85.4611840982,hrb,35.9633675043
48,2005-09-01 07:10:16,1125538816.0,0.482,26.95,-41.1572052402,1221.589966,,-50.0789402283,hrb,8.92173498816
49,2005-01-15 09:46:44,1105762604.0,1.16,47.34,3.36244541485,1187.699951,,-2.53752340355,hrb,5.8999688184
50,2005-04-06 03:04:37,1112736877.0,1.714,50.53,10.327510917,1184.069946,,4.75120752944,hrb,5.57630338759
51,2008-12-30 21:24:47,1230652487.0,2.207,22.33,-51.2445414847,890.640015,,-30.6574855852,hrb,-20.5870558995
52,2005-03-18 05:17:27,1111103247.0,0.017,19.31,0.0,1189.650024,,0.0,prgo,0.0
53,2009-02-08 04:58:39,1234049319.0,1.101,24.46,26.6701191093,845.849976,,55.5693786448,prgo,-28.8992595355
54,2006-09-10 00:12:06,1157827326.0,1.002,16.09,-16.6752977732,1294.02002,,-25.4484658389,prgo,8.77316806577
55,2007-02-22 20:39:18,1172156958.0,N/A,46.85,0.0,1456.380005,,0.0,fis,0.0
56,2007-05-28 04:33:33,1180307013.0,0.933,50.13,7.00106723586,1515.72998,,2.92589627799,fis,4.07517095787
57,2006-08-22 09:53:13,1156220593.0,0.156,97.12,0.0,1298.819946,,0.0,ben,0.0
58,2005-03-26 16:30:52,1111834852.0,0.26,68.95,-29.005354201,1172.530029,,-19.2819189097,ben,-9.72343529131
59,2007-10-29 20:04:28,1193668468.0,0.108,129.51,33.3504942339,1540.97998,,14.7058749589,ben,18.644619275
60,2004-04-27 13:37:20,1083053240.0,0.283,55.35,-43.0086490939,1138.109985,,-30.6351125237,ben,-12.3735365702
61,2004-09-24 17:33:53,1096027433.0,0.274,54.85,-43.523476112,1110.109985,,-28.9941364925,ben,-14.5293396195
62,2003-11-03 14:17:27,1067849247.0,0.249,47.42,-51.1738056013,1059.02002,,-32.7108980414,ben,-18.4629075599
63,2007-04-09 15:23:09,1176112389.0,0.126,125.1,28.8097199341,1444.609985,,17.5849124118,ben,11.2248075223
64,2004-07-29 13:37:21,1091088441.0,N/A,48.08,-50.4942339374,1100.430054,,-35.2196077191,ben,-15.2746262183
65,2004-10-23 05:48:02,1098490682.0,0.274,57.27,-41.0317133443,1103.660034,,-26.0057728665,ben,-15.0259404778
66,2008-01-02 16:25:36,1199271336.0,0.83,51.22,0.0,1447.160034,,0.0,teg,0.0
67,2008-06-30 05:20:03,1214783403.0,0.738,50.14,-2.10855134713,1280.0,,9.44235042411,teg,-11.5509017712
68,2007-07-18 09:25:57,1184730957.0,0.436,123.9,0.0,1546.170044,,0.0,unp,0.0
69,2009-01-03 23:00:55,1231003855.0,0.538,50.13,-59.5399515738,903.25,,-17.9584937973,unp,-41.5814577766
70,2007-03-13 18:02:10,1173789130.0,0.443,98.65,-20.3793381759,1377.949951,,-9.4995456426,unp,-10.8797925333
71,2007-04-06 08:21:07,1175827867.0,0.443,103.2,-16.7070217918,1437.77002,,-9.69614841334,unp,-7.01087337843
72,2008-01-24 15:49:36,1201169976.0,0.51,122.91,-0.799031476998,1352.069946,,11.7545746903,unp,-12.5536061673
73,2004-12-14 06:56:14,1102987574.0,0.643,62.1,-49.8789346247,1203.380005,,-27.7086668504,unp,-22.1702677742
74,2004-06-21 18:44:53,1087823693.0,0.636,57.76,-53.3817594835,1130.300049,,-26.4849769068,unp,-26.8967825767
75,2003-10-27 11:14:24,1067233464.0,0.681,60.06,-51.5254237288,1031.130005,,-18.2147254005,unp,-33.3106983283
76,2006-06-25 11:16:58,1151214418.0,0.505,88.8,-28.3292978208,1245.599976,,-8.88964633059,unp,-19.4396514902
77,2004-09-04 18:53:12,1094304192.0,0.652,57.24,-53.8014527845,1105.910034,,-25.3272230768,unp,-28.4742297077
78,2005-02-05 16:23:38,1107600818.0,0.643,59.17,-52.2437449556,1193.189941,,-29.4144252201,unp,-22.8293197355
79,2008-05-15 01:31:52,1210795312.0,0.522,149.95,21.0250201776,1423.569946,,28.9542966809,unp,-7.9292765033
80,2008-01-23 23:24:46,1201110886.0,0.261,51.3,0.0,1338.599976,,0.0,all,0.0
81,2007-04-10 15:14:21,1176198261.0,0.217,60.57,18.0701754386,1448.390015,,9.86831969615,all,8.20185574245
82,2007-02-22 20:38:57,1172156937.0,0.213,61.89,20.6432748538,1456.380005,,11.8445275722,all,8.79874728162
83,2005-02-04 03:29:23,1107467963.0,0.244,50.93,-0.721247563353,1203.030029,,9.40649406452,all,-10.1277416279
84,2007-01-13 10:07:07,1168663027.0,0.249,64.6,25.9259259259,1414.849976,,20.2296760106,all,5.69624991537
85,2005-01-30 21:16:48,1107100008.0,0.257,49.67,-3.17738791423,1174.550049,,9.0779482535,all,-12.2553361677
86,2004-09-24 23:35:21,1096049121.0,0.235,48.25,-5.94541910331,1110.109985,,11.123906692,all,-17.0693257954
87,2005-04-05 07:47:49,1112667469.0,0.781,18.69,0.0,1181.390015,,0.0,an,0.0
88,2008-02-15 23:13:21,1203097401.0,1.083,15.1,-19.2081326913,1349.98999,,-33.4794548507,an,14.2713221594
89,2008-12-06 07:38:30,1228529310.0,1.557,9.51,-49.1171749599,870.73999,,-22.8218769587,an,-26.2952980011
90,2007-02-20 17:59:27,1171974567.0,0.99,22.9,22.5254146602,1459.680054,,-1.03073830081,an,23.5561529611
91,2009-02-07 21:57:38,1234024058.0,1.557,11.38,-39.1118245051,832.22998,,-9.55680621589,an,-29.5550182892
92,2003-10-26 15:45:06,1067163306.0,0.892,17.97,-3.85232744783,1033.77002,,8.64312224496,an,-12.4954496928
93,2004-09-17 02:01:15,1095366675.0,0.979,16.95,-9.30979133226,1128.550049,,-4.83709685126,an,-4.472694481
94,2008-01-23 19:18:18,1201096098.0,1.083,14.13,-24.3980738363,1338.599976,,-37.7052762846,an,13.3072024483
95,2005-05-28 13:14:24,1117266264.0,0.773,19.8,5.93900481541,1190.01001,,5.20935627508,an,0.729648540326
96,2006-06-29 16:36:05,1151579165.0,N/A,11.4,0.0,1272.869995,,0.0,pets,0.0
97,2007-04-13 11:16:21,1176443181.0,N/A,11.85,3.94736842105,1452.849976,,-10.1923301897,pets,14.1396986108
98,2004-09-20 17:36:31,1095681991.0,0.003,5.0,-56.1403508772,1122.199951,,-44.3033176694,pets,-11.8370332078
99,2007-05-28 00:30:05,1180292405.0,N/A,12.86,12.8070175439,1515.72998,,-6.27269884147,pets,19.0797163853
100,2006-08-22 22:37:55,1156266475.0,N/A,11.7,2.63157894737,1298.819946,,0.592882843137,pets,2.03869610423
101,2008-01-22 22:39:40,1201021780.0,N/A,13.3,16.6666666667,1310.5,,13.7103549343,pets,2.95631173237
102,2005-08-31 02:54:33,1125437073.0,0,10.45,-8.33333333333,1220.329956,,-4.20565028586,pets,-4.12768304747
103,2007-05-17 06:48:50,1179364730.0,N/A,12.64,10.8771929825,1512.75,,-7.96840837057,pets,18.845601353
104,2005-05-27 13:14:24,1117179864.0,0,7.04,-38.2456140351,1198.780029,,-32.4249122909,pets,-5.82070174417
105,2005-02-27 08:23:35,1109472815.0,0,8.11,-28.8596491228,1200.199951,,-23.1505001692,pets,-5.70914895358
106,2006-09-06 15:58:08,1157538488.0,N/A,9.92,-12.9824561404,1300.26001,,-15.1342874434,pets,2.15183130309
